open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
1502928000000,4261.48,4485.39,3850.0,4139.98,2376.348404,1503187199999,10091212.09232508,10813,1863.453293,7925341.58720944
1503187200000,4120.98,4211.08,3400.0,4040.0,2125.51094,1503446399999,8480101.87649425,12787,1358.147235,5450252.25623793
1503446400000,4040.0,4453.91,4013.89,4280.68,2362.168058,1503705599999,9929800.22834771,21430,616.337478,2596523.29507228
1503705600000,4280.71,4400.0,4124.54,4386.69,1182.642269,1503964799999,5091106.3211572,10279,300.629281,1296170.18598594
1503964800000,4353.65,4745.42,4313.55,4724.89,1968.970601,1504223999999,8946077.14650298,13871,471.452144,2150944.79209775
1504224000000,4689.89,4939.19,4286.87,4509.08,2181.031159,1504483199999,10043942.25636497,17497,756.794502,3474233.20791163
1504483200000,4505.0,4662.87,3603.0,4619.77,3430.946497,1504742399999,14619746.73228368,27357,1534.999979,6577892.1934445
1504742400000,4619.77,4788.59,4028.93,4258.81,2291.467973,1505001599999,9987705.8284635,11580,994.635873,4349203.5407363
1505001600000,4258.81,4394.59,3801.0,4163.72,2239.992659,1505260799999,9382405.1939831,14164,1065.765887,4466769.01611921
1505260800000,4159.72,4165.38,2817.0,3700.0,4547.35058,1505519999999,16073394.5170194,24530,2090.329634,7373884.545647
1505520000000,3674.01,4123.2,3470.66,4035.01,3009.741618,1505779199999,11340401.58296612,23384,1316.45854,4961243.03443733
1505779200000,4060.0,4089.97,3567.0,3609.99,2624.921289,1506038399999,10154942.7287394,23287,1169.854416,4525252.67035195
1506038400000,3592.84,3817.19,3505.55,3660.02,2253.395606,1506297599999,8277266.86864401,25278,1233.945749,4534748.08219734
1506297600000,3660.02,4249.94,3653.69,4193.0,1882.893666,1506556799999,7399996.24633432,26084,872.493083,3446536.22933336
1506556800000,4192.11,4380.0,3952.01,4378.51,3172.448073,1506815999999,13213279.63021966,35584,1317.89238,5490161.39584995
1506816000000,4378.49,4561.63,4180.8,4310.0,2465.044222,1507075199999,10669849.41039181,30380,1074.252491,4657714.86758554
1507075200000,4314.9,4417.0,4110.0,4369.0,2154.132915,1507334399999,9183983.04866909,26710,870.118973,3708695.80555265
1507334400000,4369.0,4889.98,4312.56,4786.95,1462.522649,1507593599999,6690398.58840322,22756,776.164489,3560082.32557924
