open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
1502668800000,4261.48,4485.39,3850.0,4086.29,2843.431426,1503273599999,12021576.48265154,13134,2240.24924,9482742.92094674
1503273600000,4069.13,4453.91,3400.0,4310.01,4599.396629,1503878399999,18978983.50987317,37826,1755.530265,7173180.19744751
1503878400000,4310.01,4939.19,4124.54,4509.08,4753.843376,1504483199999,21581679.92866748,35717,1371.034428,6237542.20612072
1504483200000,4505.0,4788.59,3603.0,4130.37,6382.787745,1505087999999,27307824.36893929,42372,2821.422739,12120979.77068529
1505088000000,4153.62,4394.59,2817.0,3699.99,8106.705127,1505692799999,30026796.42861788,50423,3763.128452,13956149.18844029
1505692800000,3690.0,4123.2,3505.55,3660.02,5908.32335,1506297599999,22501242.65454204,56785,2821.438887,10711864.12380805
1506297600000,3660.02,4406.52,3653.69,4378.48,5782.305424,1506902399999,23750419.76839855,71484,2482.361367,10200163.49185349
1506902400000,4400.0,4658.0,4110.0,4640.0,4708.272956,1507507199999,20366578.25125568,59658,2077.80349,9008752.49455302
1507507200000,4640.0,5922.3,4550.0,5709.99,7913.925837,1508111999999,42038755.95644524,61638,4280.127269,22483871.99105491
1508112000000,5710.0,6171.0,5037.95,5950.02,12157.769447,1508716799999,69446644.86619961,75969,5501.9124,31411073.98003196
1508716800000,5975.0,6189.88,5286.98,6169.98,13133.99457,1509321599999,75229774.73890872,74778,5845.143252,33499318.44481458
1509321600000,6133.01,7590.25,6030.0,7345.01,11663.209648,1509926399999,79517426.5391578,98387,5037.950811,34445720.64501364
1509926400000,7345.1,7770.02,5325.01,5811.03,18916.3199,1510531199999,126612916.75463176,132654,8296.83946,55517892.65634026
1510531200000,5839.94,8123.15,5699.99,8038.0,19791.101011,1511135999999,146293856.48316985,107207,9966.297735,73714925.58366317
1511136000000,8057.11,9350.0,7801.0,9128.02,28921.859792,1511740799999,240238717.93883663,129930,14522.913389,120677884.10182004
1511740800000,9128.0,11825.0,8520.0,11165.41,48427.94965,1512345599999,493261876.5247408,232180,27122.187731,276199673.0556042
1512345600000,11165.41,17204.99,10802.0,14899.98,72469.977627,1512950399999,1022228203.7964908,393420,42089.109532,596373967.6702242
1512950400000,14946.26,19798.68,14666.56,18860.02,67851.486215,1513555199999,1143594375.3765807,539238,33646.705468,566603311.0514766
1513555200000,18860.04,19300.0,10961.0,13500.0,135385.440322,1514159999999,1998479799.1145616,1007841,67305.696474,989270027.7844435
1514160000000,13500.0,16498.05,11750.0,13716.36,116522.754321,1514764799999,1636613418.331648,1040980,62664.766575,882011540.5347854
1514764800000,13715.65,17176.24,12750.0,16150.03,120239.399359,1515369599999,1828148890.8541193,1087900,68117.139059,1037992795.2494292
1515369600000,16218.85,16322.3,11400.0,13474.99,137537.904565,1515974399999,1919927016.0206213,1176645,67529.525725,944460208.0227352
1515974400000,13477.98,14249.99,9035.0,11530.0,303127.502137,1516579199999,3434833014.703798,2359135,148847.018392,1689262267.4451878
1516579200000,11530.0,12244.0,9900.24,11879.95,198030.051117,1517183999999,2184045152.4962206,1961464,95219.664176,1049772766.2931716
1517184000000,11879.95,11975.02,7930.0,8184.81,202016.407759,1517788799999,1896352538.670673,2082917,92718.819101,870670207.3273915
1517788800000,8179.99,9065.78,6000.01,8063.88,340794.292131,1518393599999,2608962030.9285064,3182111,168442.580269,1292031857.368014
1518393600000,8063.82,11274.0,8053.0,10383.43,311863.068137,1518998399999,3026660454.8544908,3359228,152843.460787,1483899407.007015
1518998400000,10375.01,11786.01,9274.8,9590.0,350623.132911,1519603199999,3657589238.5328994,2886657,170833.284427,1784040709.7246325
1519603200000,9590.0,11565.0,9350.0,11515.0,183970.997614,1520207999999,1967477246.427072,1604626,90364.521285,967157347.6870904
1520208000000,11515.0,11710.0,8329.0,9533.57,282035.225382,1520812799999,2719942892.647309,2232004,135387.477047,1305861453.0105894
1520812800000,9533.57,9888.88,7322.0,8189.99,315835.151606,1521417599999,2657745291.1090126,2450216,152466.846927,1282773546.0090988
1521417600000,8189.0,9177.01,8088.4,8470.15,285211.539511,1522022399999,2464528929.9149055,1993351,140515.572258,1214424116.234222
1522022400000,8470.14,8514.89,6430.0,6813.01,308729.492031,1522627199999,2276980709.5920525,2021451,150619.592562,1110640017.957367
1522627200000,6813.01,7520.0,6500.0,7018.0,232320.070499,1523231999999,1616723766.0660725,1464142,116325.454625,809573460.5723698
1523232000000,7011.04,8429.54,6611.0,8355.0,259877.022414,1523836799999,1959208437.53564,1648802,132620.416417,999880218.1401192
1523836800000,8355.07,9035.0,7825.4,8787.02,233025.38619,1524441599999,1952372499.3863933,1643201,119054.126872,998226476.1990867
