open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_trades,buy_base_asset_volume,buy_quote_asset_volume
1503705600000,4280.71,4319.7,4228.99,4319.7,70.345856,1503734399999,301474.10402223,689,13.131804,56462.6863317
1503734400000,4319.7,4319.7,4221.14,4275.0,70.808065,1503763199999,303217.38856551,606,17.896216,76733.0606687
1503763200000,4275.0,4367.0,4212.41,4337.44,86.954147,1503791999999,373174.24074436,965,25.162121,108168.05350205
1503792000000,4332.51,4400.0,4293.42,4313.84,110.458587,1503820799999,479722.70859871,1231,26.133039,113763.62636385
1503820800000,4331.29,4352.34,4285.54,4325.0,92.416106,1503849599999,399080.82670547,1311,26.920629,116582.77123078
1503849600000,4290.01,4386.79,4290.01,4310.01,147.817892,1503878399999,642776.52672139,1128,48.59769,212095.78177752
1503878400000,4310.01,4330.36,4124.54,4261.9,167.692553,1503907199999,710965.61579394,1542,60.109601,254707.99872497
1503907200000,4261.9,4365.4,4226.93,4273.59,243.580585,1503935999999,1045729.3485671,1449,62.369388,269097.58155903
1503936000000,4317.2,4399.82,4273.59,4386.69,192.568478,1503964799999,834965.56143849,1358,20.308793,88558.62582734
1503964800000,4353.65,4404.07,4313.55,4329.02,207.319033,1503993599999,904058.09116968,1512,46.881931,205366.67640352
1503993600000,4328.12,4625.85,4328.12,4570.0,216.816,1504022399999,961915.80517435,1540,54.439444,244160.85136457
1504022400000,4569.65,4624.99,4496.95,4587.48,179.409995,1504051199999,816509.83948588,1107,42.121192,192454.49291849
1504051200000,4564.52,4647.51,4527.45,4550.02,268.976481,1504079999999,1235103.29463362,1558,44.35635,204454.32345502
1504080000000,4550.0,4597.0,4416.01,4546.77,339.165309,1504108799999,1535073.1990964,2537,115.455647,524236.10238136
1504108800000,4555.0,4609.92,4516.87,4555.14,200.326981,1504137599999,913538.19293121,1456,36.250255,165929.81167245
1504137600000,4555.14,4628.12,4555.14,4592.16,212.649806,1504166399999,975713.05640458,1444,31.627604,145297.1626408
1504166400000,4603.58,4685.55,4572.64,4648.82,218.872006,1504195199999,1015806.83578914,1551,51.756196,241031.37751856
1504195200000,4648.82,4745.42,4638.98,4724.89,125.43499,1504223999999,588358.83181812,1166,48.563525,228013.99374298
1504224000000,4689.89,4767.0,4654.88,4707.5,176.874112,1504252799999,833040.51633816,1164,34.640142,163977.9172264
1504252800000,4715.0,4839.92,4708.09,4803.83,199.854367,1504281599999,949989.837121,1328,44.133446,210237.1188036
1504281600000,4756.46,4885.55,4738.94,4834.91,183.937887,1504310399999,882135.205787,1508,39.886515,192039.39486734
1504310400000,4796.16,4939.19,4473.35,4697.71,324.308136,1504339199999,1535966.70306933,2744,148.353001,700601.03573397
1504339200000,4701.02,4709.4,4354.61,4460.19,329.544361,1504367999999,1500343.32590915,2397,121.370129,552277.95476569
1504368000000,4465.12,4554.98,4286.87,4472.14,275.296098,1504396799999,1221413.91583852,2334,109.476733,485455.09491769
